Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
Cotoxicologie,3,12.67,24.33,23,6,38
Entomology,5,12.6,18.0,26,2,63
Microbiologie,17,12.53,18.47,28,2,213
Semantics,2,12.5,13.0,18,7,25
Service Computing,2,12.5,24.5,19,6,25
Marine Pollution,2,12.5,15.0,17,8,25
Synthse Organique,2,12.5,15.5,19,6,25
History Of,2,12.5,28.0,25,0,25
Dosimetry,2,12.5,18.0,15,10,25
Hydrogologie,4,12.5,16.5,19,6,50
Thin Films,8,12.5,18.5,18,5,100
Biotechnologie,20,12.5,21.45,38,2,250
Trade,2,12.5,17.5,20,5,25
Supercapacitors,2,12.5,19.0,20,5,25
Food Sciences,2,12.5,13.5,16,9,25
Allergology,2,12.5,14.5,18,7,25
Solar Cells,5,12.4,19.6,22,3,62
Plant Physiology,5,12.4,15.2,18,2,62
Arabic Nlp,5,12.4,18.0,18,8,62
Scurit,3,12.33,24.67,25,4,37
Cardiology,3,12.33,20.67,31,1,37
Atomic Physics,3,12.33,24.33,23,4,37
Obsit,3,12.33,17.67,20,5,37
Data Warehouse,3,12.33,39.0,26,4,37
Chirurgie Gnrale,3,12.33,18.67,21,7,37
Physics,38,12.32,22.66,86,1,468
Microbiology,22,12.32,18.45,37,1,271
Information Security,5,12.2,23.6,40,2,61
Irrigation,5,12.2,17.8,27,3,61
Medecine,12,12.17,25.67,43,2,146
Physiology,9,12.11,17.78,26,3,109
Mcanique Des Fluides,10,12.1,24.3,58,1,121
Physiologie Et Biotechnologie Vgtales,1,12.0,14.0,12,12,12
Software Measurement And Metrology,1,12.0,14.0,12,12,12
Fabrication Mcanique,2,12.0,17.5,15,9,24
Dielectric Relaxation,1,12.0,17.0,12,12,12
Plant Genetic Diversity,1,12.0,15.0,12,12,12
Fruit Tree Genetic Resources Conservation,1,12.0,14.0,12,12,12
Conomie,5,12.0,19.8,46,0,60
Agrienvironmental Sience,1,12.0,13.0,12,12,12
Mocvd Semiconductor Nanostructure,1,12.0,16.0,12,12,12
Fiber Laser - Photonic Crysatl Fiber,1,12.0,12.0,12,12,12
Smart Systems,1,12.0,15.0,12,12,12
Anticoagulants,1,12.0,13.0,12,12,12
Polymers,4,12.0,16.25,25,4,48
Decision Aid,2,12.0,15.5,17,7,24
Asymmetric Organic Synthesis,1,12.0,20.0,12,12,12
Modelling,8,12.0,29.62,51,1,96
Hydroxyapatite/Fluoroapatite,1,12.0,13.0,12,12,12
Posidonia,1,12.0,13.0,12,12,12
Computational Linguistic,1,12.0,13.0,12,12,12
Evaluation And Biotechnology,1,12.0,14.0,12,12,12
Semiconductors Physics,1,12.0,21.0,12,12,12
(Chir)Optical Properties,1,12.0,20.0,12,12,12
Sports Sciences,3,12.0,17.67,20,2,36
Intelligence Artificielle - Traitement,1,12.0,15.0,12,12,12
Robotique Mobile,1,12.0,17.0,12,12,12
Document Image Analysis,2,12.0,16.5,15,9,24
Tournantes En Utilisant Les Techniques De L',1,12.0,13.0,12,12,12
Cyber-Security,1,12.0,14.0,12,12,12
Spectroscopie,2,12.0,15.0,13,11,24
Polysaccharides,1,12.0,13.0,12,12,12
Computational Intelligencee,1,12.0,15.0,12,12,12
Agronomie Environnement Bio-Fertilisation,1,12.0,17.0,12,12,12
Cad/Cam,1,12.0,20.0,12,12,12
Phosphates Et Engrais - Cramiques,1,12.0,13.0,12,12,12
Waste Water Treatment,1,12.0,12.0,12,12,12
Biology And Physical Exercise,1,12.0,12.0,12,12,12
Nonlinear Spectral Theory,1,12.0,15.0,12,12,12
Phytopathologie,1,12.0,16.0,12,12,12
Etude Des Manganites,1,12.0,14.0,12,12,12
Medicinal Plants,2,12.0,15.0,17,7,24
Cfao,1,12.0,20.0,12,12,12
Amlio,1,12.0,13.0,12,12,12
1D And 0D Semiconductors,1,12.0,21.0,12,12,12
Thermoeconomic Optimization,1,12.0,12.0,12,12,12
Algae,1,12.0,13.0,12,12,12
Magnetic Materials,3,12.0,21.0,27,0,36
Process Sustainability,1,12.0,12.0,12,12,12
Steganography,4,12.0,17.75,30,3,48
Audio And Video Watermarking,1,12.0,14.0,12,12,12
Control And Fault Diagnostics Of Ac Motor,1,12.0,13.0,12,12,12
Matriaux Poreux,1,12.0,15.0,12,12,12
Matire,1,12.0,12.0,12,12,12
Textiles,1,12.0,14.0,12,12,12
Epiphytes,1,12.0,13.0,12,12,12
Hybrid Materials And Low Dimensional Systems,1,12.0,21.0,12,12,12
Climate Changes,1,12.0,16.0,12,12,12
Productivit,1,12.0,15.0,12,12,12
Environmental Bio-Processes,1,12.0,12.0,12,12,12
Refrigeration And Air Conditioning,1,12.0,12.0,12,12,12
Ev,1,12.0,12.0,12,12,12
Gophysique Applique L'Hydrogologie,1,12.0,21.0,12,12,12
Control Systems Engineering,2,12.0,19.5,20,4,24
Soc Design,2,12.0,16.0,22,2,24
Trans Fatty Acids,1,12.0,13.0,12,12,12
Processus D'Criture La Main,1,12.0,13.0,12,12,12
Geostatistics And Environment,1,12.0,15.0,12,12,12
Solid State Physics -Nanoscience - Dft,1,12.0,15.0,12,12,12
Interface,1,12.0,17.0,12,12,12
Smart Vehicule,1,12.0,17.0,12,12,12
Functional Analysis,13,12.0,23.85,49,0,156
Variational Methods,1,12.0,13.0,12,12,12
Data Management And Information Systems,1,12.0,15.0,12,12,12
Gene Expression,1,12.0,15.0,12,12,12
Water-Energy-Food Nexus,1,12.0,13.0,12,12,12
Tree Physiology,1,12.0,12.0,12,12,12
Territorial / Mise En Tourisme Des Territoiress,1,12.0,16.0,12,12,12
Medical Robotics,1,12.0,12.0,12,12,12
Financial Risk Management,2,12.0,22.5,23,1,24
Women Health,1,12.0,12.0,12,12,12
Multimedia Information Retrieval,1,12.0,15.0,12,12,12
Food Security,1,12.0,13.0,12,12,12
Membrane Filtration,1,12.0,14.0,12,12,12
Early Life Adversity,1,12.0,12.0,12,12,12
Reconfiguration Des Fpga,1,12.0,18.0,12,12,12
Multiphase Flow,1,12.0,19.0,12,12,12
Mdecine - Anesthsie Ranimation - Sepsis,1,12.0,13.0,12,12,12
Breeding,1,12.0,12.0,12,12,12
Nuclei Counting,1,12.0,14.0,12,12,12
Cell Counting,1,12.0,14.0,12,12,12
Automatic Classification,1,12.0,16.0,12,12,12
Botanic Fluctuating Asymetry,1,12.0,13.0,12,12,12
Physique Des Matriaux Dilectriques Et Des,1,12.0,14.0,12,12,12
Mdecine Ophtalmologie,1,12.0,14.0,12,12,12
Water Economics,1,12.0,13.0,12,12,12
Systme Adaptatifs,1,12.0,17.0,12,12,12
Exoskeleton Robotics,1,12.0,12.0,12,12,12
Cyber-Physical Systems,2,12.0,12.5,16,8,24
Pilotage Des Systmes D'Activits,1,12.0,17.0,12,12,12
Electronique Et Micro-Lectronique,1,12.0,15.0,12,12,12
Scheduling Theory,1,12.0,17.0,12,12,12
Nanomaterials Solar Cells,1,12.0,16.0,12,12,12
Horticulture,1,12.0,12.0,12,12,12
Fuzzy Reasoning,1,12.0,15.0,12,12,12
Power Plants,1,12.0,12.0,12,12,12
Semi-Conducteurs Organiques Ofet,1,12.0,12.0,12,12,12
Human-Robot Interaction,1,12.0,12.0,12,12,12
Conception Of Electromagnetic System,1,12.0,17.0,12,12,12
Systme Manufacturier,1,12.0,15.0,12,12,12
Scurit Multimdia,1,12.0,18.0,12,12,12
Photochemistry,1,12.0,20.0,12,12,12
Diffusion,1,12.0,14.0,12,12,12
Electric Systems,1,12.0,12.0,12,12,12
Chaleur,1,12.0,12.0,12,12,12
Soft Skills,1,12.0,13.0,12,12,12
Photonics And Metatmeterials,1,12.0,14.0,12,12,12
Immunology,10,12.0,16.5,25,3,120
Microbiology Infectious Diseases,1,12.0,13.0,12,12,12
Mathematical Analysis,2,12.0,13.5,20,4,24
Resources Economics,1,12.0,16.0,12,12,12
Calcul,1,12.0,20.0,12,12,12
Transferts,1,12.0,12.0,12,12,12
Ceramics And Nanomaterial Applications,1,12.0,14.0,12,12,12
Modlisation Et Analyse Des Systmes,1,12.0,17.0,12,12,12
Earth Sciences,4,12.0,20.25,22,5,48
Nanocomposites Organiques/Inorganiques,1,12.0,15.0,12,12,12
Hydroloeology,1,12.0,15.0,12,12,12
Drying,3,12.0,18.33,29,1,36
Network Modeling,1,12.0,14.0,12,12,12
Chimie Physique/Organique,1,12.0,14.0,12,12,12
Cardiovascular Field,1,12.0,13.0,12,12,12
Polymer Matrix Composites,1,12.0,17.0,12,12,12
Multispectral Image,1,12.0,14.0,12,12,12
Optical And Wiress Communications And,1,12.0,17.0,12,12,12
Groundwater Flow Modeling,1,12.0,15.0,12,12,12
Image Processing- Information Security,1,12.0,16.0,12,12,12
Adolescent Health,1,12.0,12.0,12,12,12
Software Projects Management,1,12.0,14.0,12,12,12
Dairy Technology,1,12.0,15.0,12,12,12
Turbuence,1,12.0,19.0,12,12,12
Watermarking,5,11.8,16.4,30,3,59
Electrical Engineering,23,11.78,28.96,73,0,271
Simulation,8,11.75,17.0,26,5,94
Nutrition,8,11.75,16.0,30,1,94
Corporate Disclosure,3,11.67,15.33,25,1,35
Cloud,3,11.67,15.67,17,2,35
Structural Geology,6,11.67,19.5,30,3,70
Wsn,8,11.62,20.75,51,1,93
Matriaux,18,11.61,19.11,41,3,209
Materials Engineering,2,11.5,17.5,20,3,23
Chaotic Systems,2,11.5,16.5,20,3,23
Iot Security,4,11.5,18.5,25,1,46
Control And Stabilization,2,11.5,17.5,21,2,23
Geometric Computation,2,11.5,20.5,21,2,23
Aquaculture,2,11.5,13.0,21,2,23
Sport Science,2,11.5,12.5,14,9,23
Service-Oriented Computing,2,11.5,13.5,13,10,23
Energy Engineering,2,11.5,15.0,13,10,23
Emc,2,11.5,18.5,17,6,23
Ingnierie,2,11.5,24.5,21,2,23
Photovoltaque,2,11.5,12.5,15,8,23
Geomaterials,2,11.5,14.0,16,7,23
Transfert De Chaleur Et De Masse,2,11.5,12.5,13,10,23
Fuzzy Systems,2,11.5,14.5,13,10,23
Functional Genomics,2,11.5,15.0,16,7,23
Nitrides,2,11.5,19.5,18,5,23
Statistics,13,11.46,16.54,43,0,149
Adsorption,14,11.36,15.5,36,1,159
Medical Image Processing,3,11.33,25.0,26,3,34
Optics,3,11.33,12.33,12,10,34
Quantum Physics,3,11.33,32.67,26,4,34
Mechanics Of Materials,3,11.33,14.0,15,9,34
Nonlinear Control,6,11.33,26.83,33,3,68
Logistics,6,11.33,15.5,17,6,68
Biochimie,16,11.31,16.5,24,1,181
Electrochemistry,10,11.2,17.1,30,1,112
Biologie Marine,6,11.17,21.33,23,3,67
Signal Processing,27,11.15,21.59,73,1,301
Thermal,2,11.0,14.0,13,9,22
Fuel Cell,3,11.0,14.33,19,2,33
Matriaux Magntiques Et Dilectrique,1,11.0,12.0,11,11,11
Econometrics Softwares,1,11.0,12.0,11,11,11
Mhd,1,11.0,11.0,11,11,11
Sliding Mode Observers,1,11.0,17.0,11,11,11
Dependability,1,11.0,13.0,11,11,11
Bioinvasion,1,11.0,11.0,11,11,11
Genie Des Procds,1,11.0,12.0,11,11,11
Camlids,1,11.0,11.0,11,11,11
Soft Condensed Matter,1,11.0,13.0,11,11,11
Economic Modelling,1,11.0,12.0,11,11,11
Basal Ganglia,1,11.0,12.0,11,11,11
Soft Matter Colloids Hybrid System,1,11.0,12.0,11,11,11
Immunobiology,1,11.0,11.0,11,11,11
Internet Of Thing,1,11.0,16.0,11,11,11
Islamic Economics And Finance,1,11.0,12.0,11,11,11
Sdr & Sd-Soc,1,11.0,14.0,11,11,11
Hyperspectrale,1,11.0,13.0,11,11,11
Knowledge Discovery,1,11.0,16.0,11,11,11
Diagnosis And Wireless Power Transf,1,11.0,12.0,11,11,11
Support Vector Machines,1,11.0,13.0,11,11,11
Dformations Squelettiques,1,11.0,11.0,11,11,11
Team Sport Performance,1,11.0,11.0,11,11,11
Hpatologie Mici,1,11.0,17.0,11,11,11
Biochimie Des Plantes Mdicinales,1,11.0,12.0,11,11,11
Conception Des Systmes Embarques,1,11.0,12.0,11,11,11
Dynamics Of Linear Operators,1,11.0,12.0,11,11,11
Reversibility,1,11.0,13.0,11,11,11
Network Architectures,1,11.0,12.0,11,11,11
Component-Based Architectures,1,11.0,16.0,11,11,11
Properties - Storage And Conversion Of Solar,1,11.0,13.0,11,11,11
Embedded Systems,19,11.0,16.42,51,1,209
Fhd,1,11.0,11.0,11,11,11
Multimedia Data Analysis,1,11.0,16.0,11,11,11
Image Classification,2,11.0,13.0,15,7,22
Champ Cristallin,1,11.0,15.0,11,11,11
Ros,1,11.0,13.0,11,11,11
Gowth,1,11.0,11.0,11,11,11
Oleds,1,11.0,13.0,11,11,11
Soc & Mpsoc,1,11.0,14.0,11,11,11
Heat Recovery,1,11.0,12.0,11,11,11
Sme'S,1,11.0,11.0,11,11,11
Bi-Level Optimization,2,11.0,9.5,15,7,22
Microscopie Electronique,1,11.0,12.0,11,11,11
Electronique Analogique Et Mixte,1,11.0,15.0,11,11,11
Data Grid,2,11.0,12.5,16,6,22
Membrane Elaboration,1,11.0,12.0,11,11,11
Organizational Performance,1,11.0,12.0,11,11,11
Mcanique Quantique,1,11.0,15.0,11,11,11
Energy And Mechanics,1,11.0,14.0,11,11,11
Electronic Instrumentation,1,11.0,11.0,11,11,11
Growth And Development,1,11.0,12.0,11,11,11
Gas Separation,1,11.0,12.0,11,11,11
Electronique Mdicale,1,11.0,15.0,11,11,11
Physical Activity For Health,1,11.0,11.0,11,11,11
Analyse Des Procds,1,11.0,12.0,11,11,11
Nitrogen Metabolism,1,11.0,12.0,11,11,11
Epitaxie Des Nitrures -Iii,1,11.0,12.0,11,11,11
Electrical Machine Drives,1,11.0,13.0,11,11,11
Wireless Sensors Network,1,11.0,16.0,11,11,11
Control (Fuzzy Systems) Energie Renouvelable,1,11.0,12.0,11,11,11
Software Defined System,1,11.0,14.0,11,11,11
Macroeconomics And Microeconomics,1,11.0,12.0,11,11,11
Conception Des Systmes Iot,1,11.0,12.0,11,11,11
Gnie De La Raction Chimique,1,11.0,12.0,11,11,11
Rseaux Hydrauliques,1,11.0,12.0,11,11,11
Electronic Circuits,1,11.0,11.0,11,11,11
Preparation Of National Accounts,1,11.0,12.0,11,11,11
Modlisation De Bps,1,11.0,17.0,11,11,11
Rheology,2,11.0,13.5,12,10,22
Labor Market,1,11.0,11.0,11,11,11
Solar Cell,1,11.0,13.0,11,11,11
Traite Mcanique,1,11.0,11.0,11,11,11
Motor Control,5,11.0,13.4,16,8,55
Economie - Scurit Alimentaire,1,11.0,16.0,11,11,11
Traitement Du Signal Et D'Image,1,11.0,11.0,11,11,11
Mechanical Behaviour Of Materials,1,11.0,15.0,11,11,11
Gyncologie Obsttrique Et Mdecine De La,1,11.0,13.0,11,11,11
Energy Anal,1,11.0,12.0,11,11,11
Energics And Processes Engineering,1,11.0,12.0,11,11,11
Structure Liquides Confins Dans Des Verres,1,11.0,12.0,11,11,11
Behavioral Corporate Finance,1,11.0,11.0,11,11,11
Semiconductor Nanostructures,1,11.0,11.0,11,11,11
Organics Photonics Transistors,1,11.0,11.0,11,11,11
Forensic Toxicology,1,11.0,13.0,11,11,11
Inspection,1,11.0,13.0,11,11,11
Interactions Plantes-Microbes,1,11.0,13.0,11,11,11
Labor Economic,1,11.0,12.0,11,11,11
Real Time Processing,1,11.0,16.0,11,11,11
Sociologie Politique,1,11.0,11.0,11,11,11
Thorie De Groupe,1,11.0,15.0,11,11,11
Systmes Multi Chelles De Temps,1,11.0,14.0,11,11,11
Mcanique/Matriaux,1,11.0,11.0,11,11,11
Biologie Molculaire Des Plantes,1,11.0,12.0,11,11,11
Resource Optimization,1,11.0,12.0,11,11,11
Path Analysis,1,11.0,12.0,11,11,11
Ecophysiologie Animale,1,11.0,11.0,11,11,11
Poissons,1,11.0,11.0,11,11,11
Educational Technologies - Technology,1,11.0,14.0,11,11,11
Premier Domaine D'Intrt Usinage,1,11.0,12.0,11,11,11
Physics Of Semi-Coductors,1,11.0,11.0,11,11,11
Systmes A Retard,1,11.0,14.0,11,11,11
Formal Design Of Software Archi,1,11.0,16.0,11,11,11
Conception Lectronique,1,11.0,12.0,11,11,11
Statistical Analysis,1,11.0,11.0,11,11,11
Gnie Biomdical,1,11.0,12.0,11,11,11
Cancerology,1,11.0,11.0,11,11,11
Evolutionary Algorithms,4,11.0,14.75,32,1,44
Behavioral Entrepreneurship Theory And,1,11.0,11.0,11,11,11
Thin Film Transistors,1,11.0,11.0,11,11,11
Environmental And Analytical Chemistry,1,11.0,13.0,11,11,11
Digital Image Processing,1,11.0,11.0,11,11,11
Image Process,1,11.0,16.0,11,11,11
Shoulder And Elbow Surgery,1,11.0,11.0,11,11,11
Crowd Analysis,1,11.0,12.0,11,11,11
Nanomaterials And Sensors,1,11.0,12.0,11,11,11
Systmes De Communication Pour La,1,11.0,15.0,11,11,11
Membrane Technologies,1,11.0,12.0,11,11,11
Commande Par Modle Interne,1,11.0,14.0,11,11,11
Special Functions And Quantum Theory,1,11.0,11.0,11,11,11
Striling Engine,1,11.0,12.0,11,11,11
Transfer And Heat Phenomena,1,11.0,12.0,11,11,11
Biomedical Image Analysis,1,11.0,12.0,11,11,11
Agilit,1,11.0,17.0,11,11,11
Epidemiology,9,11.0,16.78,20,2,99
Genetics Genomics Molecular Biology,1,11.0,16.0,11,11,11
Nonlinear Analysis And Pde'S,1,11.0,12.0,11,11,11
Thermodynamique Applique,1,11.0,12.0,11,11,11
Copyright Protection,1,11.0,13.0,11,11,11
Central Banking,1,11.0,12.0,11,11,11
Measurement Of Inequality And Poverty,1,11.0,12.0,11,11,11
Marine Biology,3,11.0,17.33,28,2,33
Integrity Control,1,11.0,13.0,11,11,11
Tunnel Fire,1,11.0,12.0,11,11,11
Multispectrale,1,11.0,13.0,11,11,11
Phnomnes De Transfert De Chaleur Et De,1,11.0,12.0,11,11,11
Business Cycle,1,11.0,12.0,11,11,11
Robust Design In Dynamic Mechanical,1,11.0,11.0,11,11,11
Equity Maket,1,11.0,14.0,11,11,11
E-Assessment,1,11.0,13.0,11,11,11
Conjugated Polymers,1,11.0,14.0,11,11,11
Nanofluid,1,11.0,11.0,11,11,11
Deuxime Domaine D'Intrt: Msp,1,11.0,12.0,11,11,11
Architecture-Based Software Evolution,1,11.0,16.0,11,11,11
Troubles Pigmentaires Dermoscopie,1,11.0,16.0,11,11,11
Ecotoxicologie Marine,1,11.0,11.0,11,11,11
Tudes Urbaines,1,11.0,11.0,11,11,11
Squenage De Gnome,1,11.0,13.0,11,11,11
Ecologie Aquatique-Algoculture-Biomolcule,1,11.0,14.0,11,11,11
Robust Filtering,1,11.0,17.0,11,11,11
Statistical Machine Learning,1,11.0,13.0,11,11,11
Variable Selection And Prediction,1,11.0,13.0,11,11,11
Chimie De L'Tat Solide,1,11.0,11.0,11,11,11
Thorique Et Modlisation Molculaire Dft &,1,11.0,11.0,11,11,11
Mesure E,1,11.0,15.0,11,11,11
International Economics,8,10.88,16.88,22,2,87
Abiotic Stress,7,10.86,15.0,26,2,76
Agronomie,5,10.8,13.6,17,4,54
Rseaux,5,10.8,18.6,25,4,54
Biotechnologie Vgtale,4,10.75,17.5,25,5,43
Psychiatrie,4,10.75,14.5,27,4,43
Financial Econometrics,6,10.67,12.5,18,3,64
Ranimation,3,10.67,12.0,25,3,32
Nanomaterials,15,10.6,17.0,30,1,159
Ontology Engineering,5,10.6,13.0,25,3,53
Robust Control,9,10.56,15.0,25,2,95
Environmental Sciences,2,10.5,13.0,15,6,21
Chimie Mdicinale,2,10.5,12.0,13,8,21
Physiologie Vgtale,4,10.5,11.25,15,2,42
Business Process Management,2,10.5,12.0,15,6,21
Social Networks Analysis,2,10.5,12.0,14,7,21
Flow Control,2,10.5,11.0,11,10,21
Home Health Care,2,10.5,11.5,16,5,21
Graph Mining,2,10.5,12.0,14,7,21
Time Series Econometrics,2,10.5,12.0,13,8,21
Population Genetics,4,10.5,14.25,18,2,42
Blockchain,20,10.5,17.6,51,1,210
Economie Agricole,2,10.5,15.5,16,5,21
Business Analytics,2,10.5,12.5,13,8,21
Fpga,9,10.44,14.0,44,2,94
Bioinformatics,15,10.4,12.73,23,1,156
Fourier Analysis,3,10.33,11.33,16,5,31
History,3,10.33,19.0,25,3,31
Social Networks,3,10.33,13.33,14,7,31
Biomass,3,10.33,11.0,15,3,31
Entomologie,3,10.33,19.0,20,2,31
Nonlinear Systems,13,10.31,14.69,26,2,134
Analytical Chemistry,7,10.29,14.43,30,2,72
Pharmacology,5,10.2,10.4,14,7,51
Parasitologie,5,10.2,15.8,19,3,51
Hydrogeology,6,10.17,19.67,35,1,61
Dft,6,10.17,16.17,31,1,61
Inorganic Chemistry,7,10.14,14.14,21,5,71
Evaluation Of Public Policy,1,10.0,11.0,10,10,10
Fractals,2,10.0,11.5,15,5,20
Sample Prparation,1,10.0,10.0,10,10,10
Management Des Alliances Stratgiques,1,10.0,12.0,10,10,10
Macine Learning,1,10.0,13.0,10,10,10
Qassim University,1,10.0,11.0,10,10,10
Medical Imagery,1,10.0,10.0,10,10,10
Process Enactment,1,10.0,10.0,10,10,10
Plant Immunity Priming,1,10.0,10.0,10,10,10
Food Science Environmental Science Animal,1,10.0,10.0,10,10,10
Quantum Metrology,1,10.0,11.0,10,10,10
Nonlinear Systems Wind Resource,1,10.0,10.0,10,10,10
Gnie Enzymatique,1,10.0,10.0,10,10,10
Frontires Stochastiques,1,10.0,10.0,10,10,10
L'Allocation Optimale Des Actifs,1,10.0,10.0,10,10,10
Thermal Energy Storage,1,10.0,10.0,10,10,10
Diagnosis,5,10.0,11.0,15,4,50
Materials And Mechanical Engineering,2,10.0,12.0,17,3,20
Reconstructions,1,10.0,10.0,10,10,10
Magnetohydrodynamics,1,10.0,10.0,10,10,10
Boites Quantiques - Surfaces Des Semi,1,10.0,12.0,10,10,10
Oxide,1,10.0,11.0,10,10,10
Phosphogypse,1,10.0,10.0,10,10,10
Economie Agricole Et De L'Environnement,1,10.0,11.0,10,10,10
Statistical Control Process,1,10.0,10.0,10,10,10
Agronomie- Environnement- Symbiose,1,10.0,11.0,10,10,10
Asymptotic Analysis,2,10.0,9.0,13,7,20
Plant Computational Biology,1,10.0,11.0,10,10,10
Minimal Et Applications Des Mathmatiques,1,10.0,10.0,10,10,10
1. Study The Efficiency Of Nanotechnology In,1,10.0,10.0,10,10,10
Medical Oncology,1,10.0,10.0,10,10,10
Gologie Gophysique,1,10.0,10.0,10,10,10
Mmc,1,10.0,10.0,10,10,10
Wireless Sensor Networks & Network Security,1,10.0,14.0,10,10,10
Chimie Des Polymeres,1,10.0,10.0,10,10,10
Etl,1,10.0,15.0,10,10,10
Security Risk Assement,1,10.0,11.0,10,10,10
Environmental Stress,1,10.0,12.0,10,10,10
Vsc,1,10.0,10.0,10,10,10
Real Time Control,1,10.0,10.0,10,10,10
Adipose Tissue,1,10.0,10.0,10,10,10
Vibro-Acoustique,1,10.0,10.0,10,10,10
Diabte,2,10.0,10.0,12,8,20
P2P,1,10.0,10.0,10,10,10
Cristallographie,2,10.0,10.0,13,7,20
Formal Concept Analysis,3,10.0,12.67,16,2,30
Gestion De Production,1,10.0,10.0,10,10,10
Structural And Computational Chemistry,1,10.0,10.0,10,10,10
Les Institutions Financires,1,10.0,10.0,10,10,10
Management De La Cooptition,1,10.0,12.0,10,10,10
Forming Process,1,10.0,11.0,10,10,10
Fonction Distance Direct,1,10.0,10.0,10,10,10
Management Inter,1,10.0,12.0,10,10,10
Modlisation Graphes Causaux-Diagnostic,1,10.0,10.0,10,10,10
Automatique Robotique,1,10.0,11.0,10,10,10
Cyclodextrines,1,10.0,11.0,10,10,10
Pharmacocintique De Population,1,10.0,12.0,10,10,10
Sciences Des Matriaux,8,10.0,14.5,20,1,80
Wavelet Network,1,10.0,11.0,10,10,10
Dynamic Panel Data,1,10.0,10.0,10,10,10
Sdn/Nfv,1,10.0,12.0,10,10,10
Population Genomics,1,10.0,11.0,10,10,10
Performance Des Alliances Stratgiques,1,10.0,12.0,10,10,10
Catalyse Htrogne,1,10.0,11.0,10,10,10
Le Textile,1,10.0,10.0,10,10,10
Physique Du Solide,1,10.0,12.0,10,10,10
Chemical Eng,1,10.0,10.0,10,10,10
Mcu,1,10.0,11.0,10,10,10
Physics Of Semiconductors,1,10.0,11.0,10,10,10
Thermo-Physical Characterization,1,10.0,10.0,10,10,10
Engrais,1,10.0,10.0,10,10,10
Ingnierie Des Protocoles,1,10.0,10.0,10,10,10
Linguistic Web Services,1,10.0,10.0,10,10,10
Modlisation Mcanique,1,10.0,11.0,10,10,10
Remote Lab,3,10.0,14.67,17,5,30
Observers,2,10.0,17.5,18,2,20
Contrle De Production,1,10.0,10.0,10,10,10
Manufacturing Systems,2,10.0,11.5,16,4,20
Big Data Clustering,1,10.0,11.0,10,10,10
Demi-Reconstructions,1,10.0,10.0,10,10,10
Context Awareness,1,10.0,12.0,10,10,10
Economic Development,4,10.0,14.25,21,3,40
Routing,2,10.0,10.0,13,7,20
Medical Image Processing/ Emotion,1,10.0,11.0,10,10,10
Text Clustering,1,10.0,11.0,10,10,10
Machine Learning And Deep Learning,1,10.0,10.0,10,10,10
Bioinformatique/Biostatistique,1,10.0,10.0,10,10,10
Digital Communications,1,10.0,12.0,10,10,10
Srie Temporelle,1,10.0,10.0,10,10,10
Dynamique Des Structures,1,10.0,10.0,10,10,10
Project Scheduling Robustness,1,10.0,11.0,10,10,10
Conomie Internationale,1,10.0,10.0,10,10,10
Industrial Ergonomics,1,10.0,11.0,10,10,10
Animal Ecobiology,1,10.0,12.0,10,10,10
Entomologie Forestire,1,10.0,10.0,10,10,10
Pervasive And Mobile Computing,1,10.0,10.0,10,10,10
Clir,1,10.0,10.0,10,10,10
Thorie Des Graphs,1,10.0,10.0,10,10,10
Quantum Information,1,10.0,11.0,10,10,10
Ent Head Neck Surgery,1,10.0,11.0,10,10,10
Dielectric-Relaxation Ferroelectrics Electrical,1,10.0,10.0,10,10,10
Donnes De Panel Non Stationnaire,1,10.0,10.0,10,10,10
Energie,2,10.0,12.5,16,4,20
Groundwater Hydrology,1,10.0,11.0,10,10,10
Early-Age Concrete,1,10.0,11.0,10,10,10
Overlapping Clustering,1,10.0,11.0,10,10,10
Pcms,1,10.0,10.0,10,10,10
Exction Frenkel,1,10.0,10.0,10,10,10
Lments Finis,1,10.0,11.0,10,10,10
Biochimie Structurale,1,10.0,10.0,10,10,10
Surface Modeling,1,10.0,10.0,10,10,10
Business,1,10.0,11.0,10,10,10
Biocontrol,1,10.0,10.0,10,10,10
Magntorsistance Organique,1,10.0,10.0,10,10,10
Analysis Of Pde'S,1,10.0,11.0,10,10,10
Les Polymres,1,10.0,10.0,10,10,10
Cyber-Scurit,1,10.0,10.0,10,10,10
Insurance Economics,1,10.0,10.0,10,10,10
Hydrodynamique Et Transfert De Matire,1,10.0,11.0,10,10,10
Comportement Mcanique,1,10.0,11.0,10,10,10
Early Intervention In Psychosis - Youth Mental,1,10.0,14.0,10,10,10
Vvc,1,10.0,10.0,10,10,10
Distributed Systems,10,10.0,11.4,17,3,100
Lipids,1,10.0,10.0,10,10,10
Synthese Organique,1,10.0,10.0,10,10,10
Low Power,1,10.0,11.0,10,10,10
International Finance Financial Economics,1,10.0,10.0,10,10,10
Biotechnologie De L'Environnement,1,10.0,13.0,10,10,10
Fraud,2,10.0,12.5,17,3,20
Collision Molculaire Dans Le Mis,1,10.0,10.0,10,10,10
Managed Aquifer Recharge (Mar),1,10.0,11.0,10,10,10
Toxicology,8,10.0,10.75,24,3,80
Security Metrics,1,10.0,11.0,10,10,10
Piracy,1,10.0,11.0,10,10,10
Ssi,1,10.0,10.0,10,10,10
Vehicular Ad Hoc Networks,1,10.0,12.0,10,10,10
